"event","description","trigger","semantics","parameters","privacy","firebase","appsflyer","appsflyer_alias","conversion_priority","partner_postback_eligible"
"onboarding_skip","Records the Fernly onboarding skip product milestone.","Emitted by the existing onboarding skip application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","none","product_analytics","true","true","onboarding_skip","none","false"
"notification_open","Records the Fernly notification open product milestone.","Emitted by the existing notification open application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","destination:string; source:string","product_analytics","true","true","af_opened_from_push_notification","none","false"
"paywall_view","Records the Fernly paywall view product milestone.","Emitted by the existing paywall view application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","premium_status:string; source:string","product_analytics","true","true","af_content_view","high","true"
"photo_capture","Records the Fernly photo capture product milestone.","Emitted by the existing photo capture application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","mode:string; reason:string; result:string","product_analytics","true","true","photo_capture","none","false"
"photo_pick","Records the Fernly photo pick product milestone.","Emitted by the existing photo pick application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","mode:string; reason:string; result:string","product_analytics","true","true","photo_pick","none","false"
"plan_select","Records the Fernly plan select product milestone.","Emitted by the existing plan select application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","plan:string; source:string","product_analytics","true","true","plan_select","none","false"
"plant_delete_prompt","Records the Fernly plant delete prompt product milestone.","Emitted by the existing plant delete prompt application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","source:string","product_analytics","true","true","plant_delete_prompt","none","false"
"plant_delete_result","Records the Fernly plant delete result product milestone.","Emitted by the existing plant delete result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","reason:string; result:string","product_analytics","true","true","plant_delete_result","none","false"
"plant_photo_replacement","Records the Fernly plant photo replacement product milestone.","Emitted by the existing plant photo replacement application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","reason:string; result:string; source:string; surface:string","product_analytics","true","true","plant_photo_replacement","none","false"
"plant_save_result","Records the Fernly plant save result product milestone.","Emitted by the existing plant save result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","reason:string; result:string","product_analytics","true","true","plant_save_result","none","false"
"plant_update_result","Records the Fernly plant update result product milestone.","Emitted by the existing plant update result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","changed_photo:boolean; reason:string; result:string","product_analytics","true","true","plant_update_result","none","false"
"premium_cta","Records the Fernly premium cta product milestone.","Emitted by the existing premium cta application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","reason:string; source:string","product_analytics","true","true","premium_cta","none","false"
"purchase_result","Records the Fernly purchase result product milestone.","Emitted by the existing purchase result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","plan:string; result:string; source:string","product_analytics","true","true","purchase_result","high","true"
"purchase_start","Records the Fernly purchase start product milestone.","Emitted by the existing purchase start application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","plan:string; source:string; trial_eligible:boolean","product_analytics","true","true","af_initiated_checkout","high","true"
"restore_result","Records the Fernly restore result product milestone.","Emitted by the existing restore result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","result:string; source:string","product_analytics","true","true","restore_result","none","false"
"restore_start","Records the Fernly restore start product milestone.","Emitted by the existing restore start application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","source:string","product_analytics","true","true","restore_start","none","false"
"scan_again","Records the Fernly scan again product milestone.","Emitted by the existing scan again application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","from_step:string; mode:string","product_analytics","true","true","scan_again","none","false"
"scan_mode_change","Records the Fernly scan mode change product milestone.","Emitted by the existing scan mode change application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","from_mode:string; source:string; to_mode:string","product_analytics","true","true","scan_mode_change","none","false"
"scan_submit","Records the Fernly scan submit product milestone.","Emitted by the existing scan submit application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","has_plant_context:boolean; mode:string","product_analytics","true","true","scan_submit","none","false"
"sign_in_cancel","Records the Fernly sign in cancel product milestone.","Emitted by the existing sign in cancel application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","provider:string","product_analytics","true","true","sign_in_cancel","none","false"
"sign_in_failure","Records the Fernly sign in failure product milestone.","Emitted by the existing sign in failure application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","provider:string; reason:string","product_analytics","true","true","sign_in_failure","none","false"
"permanent_account_created","Records the Fernly permanent account created product milestone.","Emitted by the existing permanent account created application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","provider:string","product_analytics","true","true","af_complete_registration","high","true"
"returning_sign_in","Records the Fernly returning sign in product milestone.","Emitted by the existing returning sign in application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","provider:string","product_analytics","true","true","af_login","high","true"
"sign_in_result","Records the Fernly sign in result product milestone.","Emitted by the existing sign in result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","provider:string; result:string","product_analytics","true","true","sign_in_result","none","false"
"sign_in_tap","Records the Fernly sign in tap product milestone.","Emitted by the existing sign in tap application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","provider:string","product_analytics","true","true","sign_in_tap","none","false"
"sign_out","Records the Fernly sign out product milestone.","Emitted by the existing sign out application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","result:string","product_analytics","true","true","sign_out","none","false"
"task_interval_update","Records the Fernly task interval update product milestone.","Emitted by the existing task interval update application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","interval_days:number; reason:string; result:string; task_type:string","product_analytics","true","true","task_interval_update","none","false"
"task_toggle","Records the Fernly task toggle product milestone.","Emitted by the existing task toggle application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","enabled:boolean; reason:string; result:string; task_type:string","product_analytics","true","true","task_toggle","none","false"
"today_task_complete","Records the Fernly today task complete product milestone.","Emitted by the existing today task complete application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","reason:string; result:string; source:string; task_type:string","product_analytics","true","true","today_task_complete","none","false"
"ui_tap","Records the Fernly ui tap product milestone.","Emitted by the existing ui tap application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","control_name:string; reason:string; source:string; surface:string","product_analytics","true","true","ui_tap","none","false"
"weather_location_remove","Records the Fernly weather location remove product milestone.","Emitted by the existing weather location remove application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","result:string","product_analytics","true","true","weather_location_remove","none","false"
"weather_location_set","Records the Fernly weather location set product milestone.","Emitted by the existing weather location set application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","reason:string; result:string; source:string","product_analytics","true","true","weather_location_set","none","false"
"weather_tip_action","Records the Fernly weather tip action product milestone.","Emitted by the existing weather tip action application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","action_kind:string; days:number; result:string","product_analytics","true","true","weather_tip_action","none","false"
